id,origin,obs_date,sps_comm,sps,reg_id,taxon,author,lon,lat,region_long,region,status (native/alien/IAS),comments
242374317,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,253,Plantae,,2.573253632,51.09088898,Belgium,Belgium,IAS,
242374315,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,254,Plantae,,2.573271513,51.09088135,Belgium,Belgium,IAS,
242374313,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,255,Plantae,,2.573275328,51.09088898,Belgium,Belgium,IAS,
242374301,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,256,Plantae,,2.573334128,51.090194,Belgium,Belgium,IAS,
242374266,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,257,Plantae,,2.573295832,51.08993149,Belgium,Belgium,IAS,
242374265,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,258,Plantae,,2.573321581,51.08986664,Belgium,Belgium,IAS,
242365711,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,259,Plantae,,2.574317217,51.08892441,Belgium,Belgium,IAS,
242365725,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,260,Plantae,,2.573246241,51.08972168,Belgium,Belgium,IAS,
242369377,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,261,Plantae,,2.56512332,51.07938385,Belgium,Belgium,IAS,
242365727,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,262,Plantae,,2.573294878,51.08987427,Belgium,Belgium,IAS,
242365728,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,263,Plantae,,2.573297739,51.08992004,Belgium,Belgium,IAS,
242365729,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,264,Plantae,,2.573322058,51.08997345,Belgium,Belgium,IAS,
242365739,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,265,Plantae,,2.573270321,51.09015274,Belgium,Belgium,IAS,
242365740,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,266,Plantae,,2.572907686,51.09013748,Belgium,Belgium,IAS,
242369311,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,267,Plantae,,2.572296619,51.09040451,Belgium,Belgium,IAS,
242365743,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,268,Plantae,,2.572677374,51.09010315,Belgium,Belgium,IAS,
242365745,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,269,Plantae,,2.572683573,51.09011841,Belgium,Belgium,IAS,
242369307,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,270,Plantae,,2.572679996,51.090168,Belgium,Belgium,IAS,
242365755,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,271,Plantae,,2.572451591,51.09033966,Belgium,Belgium,IAS,
242405061,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,273,Plantae,,2.573255539,51.09020996,Belgium,Belgium,IAS,
242365758,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,274,Plantae,,2.571555853,51.09166718,Belgium,Belgium,IAS,
242369301,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,275,Plantae,,2.573204994,51.09025574,Belgium,Belgium,IAS,
242365760,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,276,Plantae,,2.571778774,51.09154892,Belgium,Belgium,IAS,
